Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,1008.30,
20-September-2005,,,,1010.61,
21-September-2005,,,,999.79,
22-September-2005,,,,959.95,
23-September-2005,,,,963.17,
26-September-2005,,,,993.70,
27-September-2005,,,,999.46,
28-September-2005,,,,1007.30,
29-September-2005,,,,1007.53,
30-September-2005,,,,1005.77,
3-October-2005,,,,1016.33,
4-October-2005,,,,1028.54,
5-October-2005,,,,1020.93,
6-October-2005,,,,1001.09,
7-October-2005,,,,996.34,
10-October-2005,,,,992.73,
11-October-2005,,,,996.05,
13-October-2005,,,,980.37,
14-October-2005,,,,959.58,
17-October-2005,,,,955.97,
18-October-2005,,,,949.24,
19-October-2005,,,,927.60,
20-October-2005,,,,917.69,
21-October-2005,,,,931.70,
24-October-2005,,,,919.72,
25-October-2005,,,,926.31,
26-October-2005,,,,924.07,
27-October-2005,,,,905.50,
28-October-2005,,,,890.62,
31-October-2005,,,,912.27,
1-November-2005,,,,920.75,
2-November-2005,,,,931.40,
7-November-2005,,,,947.29,
8-November-2005,,,,960.02,
9-November-2005,,,,959.01,
10-November-2005,,,,961.65,
11-November-2005,,,,979.61,
14-November-2005,,,,982.32,
16-November-2005,,,,992.58,
17-November-2005,,,,998.31,
18-November-2005,,,,1001.92,
21-November-2005,,,,994.22,
22-November-2005,,,,986.59,
23-November-2005,,,,995.52,
24-November-2005,,,,1005.86,
25-November-2005,,,,1018.19,
28-November-2005,,,,1036.00,
29-November-2005,,,,1029.89,
30-November-2005,,,,1017.79,
1-December-2005,,,,1034.14,
2-December-2005,,,,1037.18,
5-December-2005,,,,1026.09,
6-December-2005,,,,1024.60,
7-December-2005,,,,1032.51,
8-December-2005,,,,1036.07,
9-December-2005,,,,1051.03,
12-December-2005,,,,1057.39,
13-December-2005,,,,1069.21,
14-December-2005,,,,1068.84,
15-December-2005,,,,1058.81,
16-December-2005,,,,1070.10,
19-December-2005,,,,1082.05,
20-December-2005,,,,1077.02,
21-December-2005,,,,1076.39,
22-December-2005,,,,1079.37,
23-December-2005,,,,1067.09,
26-December-2005,,,,1045.34,
27-December-2005,,,,1067.68,
28-December-2005,,,,1066.37,
29-December-2005,,,,1073.30,
30-December-2005,,,,1083.88,
2-January-2006,,,,1086.48,
3-January-2006,,,,1103.39,
4-January-2006,,,,1114.23,
5-January-2006,,,,1114.98,
6-January-2006,,,,1119.31,
9-January-2006,,,,1118.33,
10-January-2006,,,,1104.99,
12-January-2006,,,,1099.64,
13-January-2006,,,,1100.05,
16-January-2006,,,,1092.72,
17-January-2006,,,,1088.27,
18-January-2006,,,,1080.49,
19-January-2006,,,,1103.10,
20-January-2006,,,,1112.84,
23-January-2006,,,,1108.59,
24-January-2006,,,,1116.36,
25-January-2006,,,,1124.48,
27-January-2006,,,,1144.40,
30-January-2006,,,,1137.87,
31-January-2006,,,,1144.22,
1-February-2006,,,,1134.29,
2-February-2006,,,,1133.69,
3-February-2006,,,,1127.94,
6-February-2006,,,,1148.38,
7-February-2006,,,,1158.90,
8-February-2006,,,,1155.81,
10-February-2006,,,,1165.56,
13-February-2006,,,,1174.64,
14-February-2006,,,,1167.03,
15-February-2006,,,,1167.87,
16-February-2006,,,,1170.16,
17-February-2006,,,,1153.03,
