Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,1014.97,
20-September-2005,,,,1008.36,
21-September-2005,,,,984.64,
22-September-2005,,,,931.71,
23-September-2005,,,,943.99,
26-September-2005,,,,977.08,
27-September-2005,,,,981.03,
28-September-2005,,,,984.03,
29-September-2005,,,,979.97,
30-September-2005,,,,978.99,
3-October-2005,,,,993.98,
4-October-2005,,,,1000.56,
5-October-2005,,,,993.26,
6-October-2005,,,,967.84,
7-October-2005,,,,959.26,
10-October-2005,,,,943.09,
11-October-2005,,,,939.20,
13-October-2005,,,,917.55,
14-October-2005,,,,896.61,
17-October-2005,,,,892.37,
18-October-2005,,,,884.48,
19-October-2005,,,,859.42,
20-October-2005,,,,842.58,
21-October-2005,,,,855.55,
24-October-2005,,,,846.73,
25-October-2005,,,,848.66,
26-October-2005,,,,848.45,
27-October-2005,,,,830.67,
28-October-2005,,,,813.86,
31-October-2005,,,,833.13,
1-November-2005,,,,843.45,
2-November-2005,,,,862.39,
7-November-2005,,,,883.43,
8-November-2005,,,,891.52,
9-November-2005,,,,889.84,
10-November-2005,,,,895.72,
11-November-2005,,,,906.43,
14-November-2005,,,,901.60,
16-November-2005,,,,907.40,
17-November-2005,,,,909.95,
18-November-2005,,,,922.31,
21-November-2005,,,,915.55,
22-November-2005,,,,903.87,
23-November-2005,,,,903.83,
24-November-2005,,,,911.83,
25-November-2005,,,,916.74,
28-November-2005,,,,927.78,
29-November-2005,,,,926.02,
30-November-2005,,,,920.25,
1-December-2005,,,,934.92,
2-December-2005,,,,941.09,
5-December-2005,,,,931.85,
6-December-2005,,,,926.03,
7-December-2005,,,,927.09,
8-December-2005,,,,929.69,
9-December-2005,,,,941.72,
12-December-2005,,,,948.90,
13-December-2005,,,,963.49,
14-December-2005,,,,964.64,
15-December-2005,,,,956.05,
16-December-2005,,,,963.57,
19-December-2005,,,,978.65,
20-December-2005,,,,970.24,
21-December-2005,,,,963.73,
22-December-2005,,,,966.62,
23-December-2005,,,,954.23,
26-December-2005,,,,933.79,
27-December-2005,,,,952.18,
28-December-2005,,,,948.00,
29-December-2005,,,,955.28,
30-December-2005,,,,971.56,
2-January-2006,,,,981.87,
3-January-2006,,,,1001.53,
4-January-2006,,,,1013.42,
5-January-2006,,,,1015.78,
6-January-2006,,,,1023.56,
9-January-2006,,,,1022.23,
10-January-2006,,,,1009.97,
12-January-2006,,,,1014.32,
13-January-2006,,,,1013.16,
16-January-2006,,,,1005.91,
17-January-2006,,,,994.80,
18-January-2006,,,,994.45,
19-January-2006,,,,1019.18,
20-January-2006,,,,1022.21,
23-January-2006,,,,1016.88,
24-January-2006,,,,1022.96,
25-January-2006,,,,1023.10,
27-January-2006,,,,1052.44,
30-January-2006,,,,1048.67,
31-January-2006,,,,1053.49,
1-February-2006,,,,1038.86,
2-February-2006,,,,1052.80,
3-February-2006,,,,1050.72,
6-February-2006,,,,1066.43,
7-February-2006,,,,1073.09,
8-February-2006,,,,1062.02,
10-February-2006,,,,1062.77,
13-February-2006,,,,1067.89,
14-February-2006,,,,1053.30,
15-February-2006,,,,1059.56,
16-February-2006,,,,1068.01,
17-February-2006,,,,1045.52,
20-February-2006,,,,1051.65,
21-February-2006,,,,1061.57,
22-February-2006,,,,1069.59,
23-February-2006,,,,1070.45,
24-February-2006,,,,1074.32,
27-February-2006,,,,1080.92,
28-February-2006,,,,1092.49,
1-March-2006,,,,1130.58,
2-March-2006,,,,1131.68,
3-March-2006,,,,1139.47,
6-March-2006,,,,1162.13,
7-March-2006,,,,1173.91,
8-March-2006,,,,1140.62,
9-March-2006,,,,1164.67,
10-March-2006,,,,1175.81,
13-March-2006,,,,1171.65,
14-March-2006,,,,1161.44,
16-March-2006,,,,1173.92,
17-March-2006,,,,1170.14,
20-March-2006,,,,1186.37,
21-March-2006,,,,1183.36,
22-March-2006,,,,1170.75,
23-March-2006,,,,1187.16,
24-March-2006,,,,1209.46,
27-March-2006,,,,1240.22,
28-March-2006,,,,1238.44,
29-March-2006,,,,1248.05,
30-March-2006,,,,1267.81,
31-March-2006,,,,1286.18,
3-April-2006,,,,1320.37,
4-April-2006,,,,1317.30,
5-April-2006,,,,1344.38,
7-April-2006,,,,1357.24,
10-April-2006,,,,1411.98,
12-April-2006,,,,1383.45,
13-April-2006,,,,1362.97,
17-April-2006,,,,1426.78,
18-April-2006,,,,1431.09,
19-April-2006,,,,1457.62,
20-April-2006,,,,1487.20,
21-April-2006,,,,1490.07,
24-April-2006,,,,1494.35,
25-April-2006,,,,1454.59,
26-April-2006,,,,1504.52,
27-April-2006,,,,1499.14,
28-April-2006,,,,1496.34,
2-May-2006,,,,1583.34,
3-May-2006,,,,1573.57,
4-May-2006,,,,1546.35,
5-May-2006,,,,1549.54,
