Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,1009.47,
20-September-2005,,,,1002.82,
21-September-2005,,,,983.73,
22-September-2005,,,,934.82,
23-September-2005,,,,946.28,
26-September-2005,,,,977.43,
27-September-2005,,,,979.61,
28-September-2005,,,,982.51,
29-September-2005,,,,978.87,
30-September-2005,,,,973.51,
3-October-2005,,,,990.76,
4-October-2005,,,,1003.15,
5-October-2005,,,,1005.37,
6-October-2005,,,,988.85,
7-October-2005,,,,980.28,
10-October-2005,,,,975.41,
11-October-2005,,,,972.90,
13-October-2005,,,,960.79,
14-October-2005,,,,938.39,
17-October-2005,,,,932.99,
18-October-2005,,,,932.10,
19-October-2005,,,,905.59,
20-October-2005,,,,894.76,
21-October-2005,,,,908.32,
24-October-2005,,,,903.87,
25-October-2005,,,,901.84,
26-October-2005,,,,898.64,
27-October-2005,,,,889.50,
28-October-2005,,,,871.51,
31-October-2005,,,,888.28,
1-November-2005,,,,900.61,
2-November-2005,,,,901.33,
7-November-2005,,,,926.17,
8-November-2005,,,,939.96,
9-November-2005,,,,941.28,
10-November-2005,,,,945.03,
11-November-2005,,,,959.76,
14-November-2005,,,,955.60,
16-November-2005,,,,961.29,
17-November-2005,,,,968.25,
18-November-2005,,,,976.21,
21-November-2005,,,,977.05,
22-November-2005,,,,974.01,
23-November-2005,,,,986.67,
24-November-2005,,,,993.19,
25-November-2005,,,,1003.65,
28-November-2005,,,,1030.40,
29-November-2005,,,,1021.07,
30-November-2005,,,,1014.76,
1-December-2005,,,,1029.17,
2-December-2005,,,,1027.92,
5-December-2005,,,,1021.51,
6-December-2005,,,,1024.61,
7-December-2005,,,,1034.98,
8-December-2005,,,,1043.62,
9-December-2005,,,,1057.43,
12-December-2005,,,,1059.49,
13-December-2005,,,,1065.74,
14-December-2005,,,,1068.01,
15-December-2005,,,,1054.05,
16-December-2005,,,,1058.52,
19-December-2005,,,,1072.26,
20-December-2005,,,,1064.18,
21-December-2005,,,,1070.73,
22-December-2005,,,,1072.34,
23-December-2005,,,,1057.72,
26-December-2005,,,,1035.32,
27-December-2005,,,,1055.30,
28-December-2005,,,,1057.46,
29-December-2005,,,,1059.65,
30-December-2005,,,,1072.07,
2-January-2006,,,,1075.13,
3-January-2006,,,,1089.91,
4-January-2006,,,,1094.56,
5-January-2006,,,,1096.86,
6-January-2006,,,,1101.07,
9-January-2006,,,,1103.35,
10-January-2006,,,,1091.09,
12-January-2006,,,,1091.93,
13-January-2006,,,,1094.84,
16-January-2006,,,,1091.81,
17-January-2006,,,,1083.32,
18-January-2006,,,,1078.85,
19-January-2006,,,,1096.74,
20-January-2006,,,,1111.96,
23-January-2006,,,,1115.49,
24-January-2006,,,,1125.80,
25-January-2006,,,,1128.18,
27-January-2006,,,,1140.98,
30-January-2006,,,,1124.90,
31-January-2006,,,,1134.79,
1-February-2006,,,,1122.45,
2-February-2006,,,,1120.77,
3-February-2006,,,,1121.41,
6-February-2006,,,,1135.87,
7-February-2006,,,,1145.26,
8-February-2006,,,,1145.66,
10-February-2006,,,,1164.75,
13-February-2006,,,,1171.91,
14-February-2006,,,,1174.22,
15-February-2006,,,,1167.31,
16-February-2006,,,,1180.49,
17-February-2006,,,,1163.40,
20-February-2006,,,,1153.84,
