Date,Open,High,Low,Close
14-December-2015,,,,227.04,
15-December-2015,,,,227.44,
16-December-2015,,,,229.51,
17-December-2015,,,,234.37,
18-December-2015,,,,233.80,
21-December-2015,,,,236.55,
22-December-2015,,,,234.48,
23-December-2015,,,,236.52,
24-December-2015,,,,238.56,
28-December-2015,,,,238.19,
29-December-2015,,,,238.77,
30-December-2015,,,,238.51,
31-December-2015,,,,240.30,
1-January-2016,,,,244.56,
4-January-2016,,,,238.77,
5-January-2016,,,,243.07,
6-January-2016,,,,241.33,
7-January-2016,,,,229.64,
8-January-2016,,,,233.20,
11-January-2016,,,,232.47,
12-January-2016,,,,227.80,
13-January-2016,,,,225.84,
14-January-2016,,,,221.89,
15-January-2016,,,,213.03,
18-January-2016,,,,206.90,
19-January-2016,,,,210.09,
20-January-2016,,,,203.39,
21-January-2016,,,,203.09,
22-January-2016,,,,209.87,
25-January-2016,,,,209.26,
27-January-2016,,,,210.89,
28-January-2016,,,,210.13,
29-January-2016,,,,211.35,
1-February-2016,,,,210.23,
2-February-2016,,,,204.18,
3-February-2016,,,,198.67,
4-February-2016,,,,198.70,
5-February-2016,,,,205.82,
8-February-2016,,,,204.70,
9-February-2016,,,,200.94,
10-February-2016,,,,196.66,
11-February-2016,,,,187.20,
12-February-2016,,,,184.85,
15-February-2016,,,,196.04,
16-February-2016,,,,189.62,
17-February-2016,,,,192.43,
18-February-2016,,,,193.07,
19-February-2016,,,,193.62,
22-February-2016,,,,194.58,
23-February-2016,,,,191.29,
24-February-2016,,,,190.67,
25-February-2016,,,,188.94,
26-February-2016,,,,189.78,
29-February-2016,,,,189.95,
1-March-2016,,,,196.29,
2-March-2016,,,,201.78,
3-March-2016,,,,207.23,
4-March-2016,,,,209.89,
8-March-2016,,,,212.04,
9-March-2016,,,,213.44,
10-March-2016,,,,211.97,
11-March-2016,,,,212.03,
14-March-2016,,,,212.69,
15-March-2016,,,,213.99,
16-March-2016,,,,212.69,
17-March-2016,,,,214.30,
18-March-2016,,,,216.71,
21-March-2016,,,,219.54,
22-March-2016,,,,221.26,
23-March-2016,,,,221.69,
28-March-2016,,,,215.08,
29-March-2016,,,,215.34,
30-March-2016,,,,222.32,
