Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,1009.59,
20-September-2005,,,,1009.15,
21-September-2005,,,,992.30,
22-September-2005,,,,954.07,
23-September-2005,,,,960.11,
26-September-2005,,,,993.69,
27-September-2005,,,,1007.41,
28-September-2005,,,,1016.45,
29-September-2005,,,,1028.57,
30-September-2005,,,,1024.20,
3-October-2005,,,,1039.49,
4-October-2005,,,,1055.01,
5-October-2005,,,,1050.10,
6-October-2005,,,,1031.53,
7-October-2005,,,,1026.48,
10-October-2005,,,,1018.85,
11-October-2005,,,,1016.38,
13-October-2005,,,,1004.27,
14-October-2005,,,,979.01,
17-October-2005,,,,972.87,
18-October-2005,,,,974.43,
19-October-2005,,,,949.52,
20-October-2005,,,,932.09,
21-October-2005,,,,945.96,
24-October-2005,,,,941.59,
25-October-2005,,,,950.43,
26-October-2005,,,,946.34,
27-October-2005,,,,932.57,
28-October-2005,,,,914.82,
31-October-2005,,,,938.08,
1-November-2005,,,,949.92,
2-November-2005,,,,960.99,
7-November-2005,,,,978.40,
8-November-2005,,,,992.71,
9-November-2005,,,,989.96,
10-November-2005,,,,994.93,
11-November-2005,,,,1016.28,
14-November-2005,,,,1016.72,
16-November-2005,,,,1024.80,
17-November-2005,,,,1033.10,
18-November-2005,,,,1042.02,
21-November-2005,,,,1038.27,
22-November-2005,,,,1035.73,
23-November-2005,,,,1045.96,
24-November-2005,,,,1055.16,
25-November-2005,,,,1078.66,
28-November-2005,,,,1123.69,
29-November-2005,,,,1110.95,
30-November-2005,,,,1100.57,
1-December-2005,,,,1126.40,
2-December-2005,,,,1131.41,
5-December-2005,,,,1122.32,
6-December-2005,,,,1119.05,
7-December-2005,,,,1121.75,
8-December-2005,,,,1123.20,
9-December-2005,,,,1142.34,
12-December-2005,,,,1151.74,
13-December-2005,,,,1164.47,
14-December-2005,,,,1150.93,
15-December-2005,,,,1140.11,
16-December-2005,,,,1144.44,
19-December-2005,,,,1156.27,
20-December-2005,,,,1156.36,
21-December-2005,,,,1156.63,
22-December-2005,,,,1158.71,
23-December-2005,,,,1151.66,
26-December-2005,,,,1133.92,
27-December-2005,,,,1160.72,
28-December-2005,,,,1153.73,
29-December-2005,,,,1165.31,
30-December-2005,,,,1179.01,
2-January-2006,,,,1180.49,
3-January-2006,,,,1195.87,
4-January-2006,,,,1204.11,
5-January-2006,,,,1203.02,
6-January-2006,,,,1209.60,
9-January-2006,,,,1212.32,
10-January-2006,,,,1201.45,
12-January-2006,,,,1200.05,
13-January-2006,,,,1205.93,
16-January-2006,,,,1208.30,
17-January-2006,,,,1199.97,
18-January-2006,,,,1192.22,
19-January-2006,,,,1224.70,
20-January-2006,,,,1247.26,
23-January-2006,,,,1248.90,
24-January-2006,,,,1269.99,
25-January-2006,,,,1291.50,
27-January-2006,,,,1324.92,
30-January-2006,,,,1306.90,
31-January-2006,,,,1328.22,
1-February-2006,,,,1336.72,
2-February-2006,,,,1330.98,
3-February-2006,,,,1331.57,
6-February-2006,,,,1346.33,
7-February-2006,,,,1366.48,
8-February-2006,,,,1355.48,
10-February-2006,,,,1372.77,
13-February-2006,,,,1413.23,
14-February-2006,,,,1394.34,
15-February-2006,,,,1389.90,
16-February-2006,,,,1395.71,
17-February-2006,,,,1370.92,
20-February-2006,,,,1358.72,
21-February-2006,,,,1381.72,
22-February-2006,,,,1384.88,
23-February-2006,,,,1376.36,
24-February-2006,,,,1385.08,
27-February-2006,,,,1393.33,
28-February-2006,,,,1420.32,
1-March-2006,,,,1456.72,
2-March-2006,,,,1477.89,
3-March-2006,,,,1492.70,
6-March-2006,,,,1510.19,
7-March-2006,,,,1527.73,
8-March-2006,,,,1504.26,
9-March-2006,,,,1510.06,
10-March-2006,,,,1542.91,
13-March-2006,,,,1542.01,
14-March-2006,,,,1535.75,
16-March-2006,,,,1546.71,
17-March-2006,,,,1541.88,
20-March-2006,,,,1544.85,
21-March-2006,,,,1545.01,
22-March-2006,,,,1529.56,
23-March-2006,,,,1528.99,
24-March-2006,,,,1542.67,
27-March-2006,,,,1547.08,
28-March-2006,,,,1528.54,
29-March-2006,,,,1536.51,
30-March-2006,,,,1543.57,
31-March-2006,,,,1566.99,
3-April-2006,,,,1610.43,
4-April-2006,,,,1621.64,
5-April-2006,,,,1654.64,
7-April-2006,,,,1638.86,
10-April-2006,,,,1651.29,
12-April-2006,,,,1610.23,
13-April-2006,,,,1571.94,
17-April-2006,,,,1595.18,
18-April-2006,,,,1618.89,
19-April-2006,,,,1623.22,
20-April-2006,,,,1639.69,
21-April-2006,,,,1648.55,
24-April-2006,,,,1654.94,
25-April-2006,,,,1626.33,
26-April-2006,,,,1652.06,
27-April-2006,,,,1653.61,
28-April-2006,,,,1654.71,
2-May-2006,,,,1699.49,
3-May-2006,,,,1702.89,
4-May-2006,,,,1700.46,
5-May-2006,,,,1710.36,
8-May-2006,,,,1710.35,
9-May-2006,,,,1723.60,
10-May-2006,,,,1729.81,
11-May-2006,,,,1716.96,
12-May-2006,,,,1714.55,
15-May-2006,,,,1648.68,
16-May-2006,,,,1635.06,
17-May-2006,,,,1682.62,
18-May-2006,,,,1563.16,
19-May-2006,,,,1496.00,
22-May-2006,,,,1400.54,
23-May-2006,,,,1450.51,
24-May-2006,,,,1427.32,
25-May-2006,,,,1419.87,
26-May-2006,,,,1450.00,
29-May-2006,,,,1476.70,
30-May-2006,,,,1466.53,
31-May-2006,,,,1423.22,
1-June-2006,,,,1369.42,
2-June-2006,,,,1386.07,
5-June-2006,,,,1372.23,
6-June-2006,,,,1326.29,
7-June-2006,,,,1256.37,
8-June-2006,,,,1172.38,
9-June-2006,,,,1244.68,
12-June-2006,,,,1215.08,
13-June-2006,,,,1139.34,
14-June-2006,,,,1107.49,
15-June-2006,,,,1194.37,
16-June-2006,,,,1246.20,
19-June-2006,,,,1260.20,
20-June-2006,,,,1241.28,
21-June-2006,,,,1272.36,
22-June-2006,,,,1311.08,
23-June-2006,,,,1307.08,
26-June-2006,,,,1253.61,
27-June-2006,,,,1249.69,
28-June-2006,,,,1247.51,
29-June-2006,,,,1264.58,
30-June-2006,,,,1323.24,
3-July-2006,,,,1325.85,
4-July-2006,,,,1313.31,
5-July-2006,,,,1334.93,
6-July-2006,,,,1320.17,
7-July-2006,,,,1291.38,
10-July-2006,,,,1307.19,
11-July-2006,,,,1299.55,
12-July-2006,,,,1322.01,
13-July-2006,,,,1317.98,
14-July-2006,,,,1292.79,
17-July-2006,,,,1248.17,
18-July-2006,,,,1221.34,
19-July-2006,,,,1185.15,
20-July-2006,,,,1214.58,
21-July-2006,,,,1179.59,
24-July-2006,,,,1181.58,
25-July-2006,,,,1208.82,
26-July-2006,,,,1237.94,
27-July-2006,,,,1265.11,
28-July-2006,,,,1271.08,
31-July-2006,,,,1292.48,
1-August-2006,,,,1295.35,
2-August-2006,,,,1319.09,
3-August-2006,,,,1323.31,
4-August-2006,,,,1314.78,
7-August-2006,,,,1312.89,
8-August-2006,,,,1334.23,
9-August-2006,,,,1358.88,
10-August-2006,,,,1369.35,
11-August-2006,,,,1385.05,
14-August-2006,,,,1400.34,
16-August-2006,,,,1429.50,
17-August-2006,,,,1433.82,
18-August-2006,,,,1437.77,
21-August-2006,,,,1447.25,
22-August-2006,,,,1440.04,
23-August-2006,,,,1425.83,
24-August-2006,,,,1431.41,
25-August-2006,,,,1438.20,
28-August-2006,,,,1449.20,
29-August-2006,,,,1452.22,
30-August-2006,,,,1449.89,
31-August-2006,,,,1437.00,
1-September-2006,,,,1451.17,
4-September-2006,,,,1483.13,
5-September-2006,,,,1488.16,
6-September-2006,,,,1505.21,
7-September-2006,,,,1502.88,
8-September-2006,,,,1514.12,
11-September-2006,,,,1461.55,
12-September-2006,,,,1463.60,
13-September-2006,,,,1492.02,
14-September-2006,,,,1495.68,
15-September-2006,,,,1511.25,
18-September-2006,,,,1522.79,
19-September-2006,,,,1495.73,
20-September-2006,,,,1506.57,
21-September-2006,,,,1520.07,
22-September-2006,,,,1514.38,
25-September-2006,,,,1507.62,
26-September-2006,,,,1520.71,
27-September-2006,,,,1526.49,
28-September-2006,,,,1519.41,
29-September-2006,,,,1538.03,
3-October-2006,,,,1539.44,
4-October-2006,,,,1531.47,
5-October-2006,,,,1557.10,
6-October-2006,,,,1567.47,
9-October-2006,,,,1582.10,
10-October-2006,,,,1582.84,
11-October-2006,,,,1552.74,
12-October-2006,,,,1571.48,
13-October-2006,,,,1586.08,
16-October-2006,,,,1596.44,
17-October-2006,,,,1590.61,
18-October-2006,,,,1587.62,
19-October-2006,,,,1576.25,
20-October-2006,,,,1585.10,
23-October-2006,,,,1585.80,
26-October-2006,,,,1600.36,
27-October-2006,,,,1614.79,
30-October-2006,,,,1622.22,
31-October-2006,,,,1623.24,
1-November-2006,,,,1634.67,
2-November-2006,,,,1649.48,
3-November-2006,,,,1655.18,
6-November-2006,,,,1670.07,
7-November-2006,,,,1667.72,
8-November-2006,,,,1653.07,
9-November-2006,,,,1658.16,
10-November-2006,,,,1678.75,
13-November-2006,,,,1696.42,
14-November-2006,,,,1686.03,
15-November-2006,,,,1681.36,
16-November-2006,,,,1679.11,
17-November-2006,,,,1660.08,
20-November-2006,,,,1640.45,
21-November-2006,,,,1679.94,
22-November-2006,,,,1710.19,
23-November-2006,,,,1721.04,
24-November-2006,,,,1715.81,
27-November-2006,,,,1717.69,
28-November-2006,,,,1702.76,
29-November-2006,,,,1713.32,
30-November-2006,,,,1713.19,
1-December-2006,,,,1744.13,
4-December-2006,,,,1770.89,
5-December-2006,,,,1783.15,
6-December-2006,,,,1774.49,
7-December-2006,,,,1791.30,
8-December-2006,,,,1770.29,
11-December-2006,,,,1727.76,
12-December-2006,,,,1653.02,
13-December-2006,,,,1692.39,
14-December-2006,,,,1733.91,
15-December-2006,,,,1744.67,
18-December-2006,,,,1748.73,
19-December-2006,,,,1702.64,
20-December-2006,,,,1687.53,
21-December-2006,,,,1690.82,
22-December-2006,,,,1705.41,
26-December-2006,,,,1733.94,
27-December-2006,,,,1746.33,
28-December-2006,,,,1746.37,
29-December-2006,,,,1759.71,
1-January-2007,,,,1759.71,
2-January-2007,,,,1785.10,
3-January-2007,,,,1797.30,
4-January-2007,,,,1800.50,
5-January-2007,,,,1788.92,
8-January-2007,,,,1774.97,
9-January-2007,,,,1757.46,
10-January-2007,,,,1731.78,
11-January-2007,,,,1756.61,
12-January-2007,,,,1792.70,
15-January-2007,,,,1809.75,
16-January-2007,,,,1820.91,
17-January-2007,,,,1831.20,
18-January-2007,,,,1834.93,
19-January-2007,,,,1821.64,
22-January-2007,,,,1823.19,
23-January-2007,,,,1804.99,
24-January-2007,,,,1812.72,
