Date,Open,High,Low,Close
14-December-2015,,,,546.67,
15-December-2015,,,,549.81,
16-December-2015,,,,553.09,
17-December-2015,,,,559.06,
18-December-2015,,,,556.89,
21-December-2015,,,,561.51,
22-December-2015,,,,558.45,
23-December-2015,,,,560.92,
24-December-2015,,,,561.93,
28-December-2015,,,,564.64,
29-December-2015,,,,564.96,
30-December-2015,,,,562.59,
31-December-2015,,,,566.52,
1-January-2016,,,,568.02,
4-January-2016,,,,562.16,
5-January-2016,,,,563.39,
6-January-2016,,,,561.15,
7-January-2016,,,,548.65,
8-January-2016,,,,551.16,
11-January-2016,,,,547.13,
12-January-2016,,,,544.42,
13-January-2016,,,,544.40,
14-January-2016,,,,543.00,
15-January-2016,,,,535.96,
18-January-2016,,,,529.12,
19-January-2016,,,,530.82,
20-January-2016,,,,522.95,
21-January-2016,,,,518.98,
22-January-2016,,,,529.21,
25-January-2016,,,,528.45,
27-January-2016,,,,531.34,
28-January-2016,,,,532.25,
29-January-2016,,,,542.33,
1-February-2016,,,,543.55,
2-February-2016,,,,538.94,
3-February-2016,,,,532.26,
4-February-2016,,,,533.98,
5-February-2016,,,,539.77,
8-February-2016,,,,533.92,
9-February-2016,,,,529.38,
10-February-2016,,,,526.95,
11-February-2016,,,,511.04,
12-February-2016,,,,510.87,
15-February-2016,,,,522.13,
16-February-2016,,,,515.67,
17-February-2016,,,,516.89,
18-February-2016,,,,523.42,
19-February-2016,,,,524.91,
22-February-2016,,,,527.25,
23-February-2016,,,,518.38,
24-February-2016,,,,513.14,
25-February-2016,,,,507.63,
26-February-2016,,,,508.62,
29-February-2016,,,,506.53,
1-March-2016,,,,519.09,
2-March-2016,,,,525.75,
3-March-2016,,,,530.88,
4-March-2016,,,,533.32,
8-March-2016,,,,532.67,
9-March-2016,,,,535.99,
10-March-2016,,,,533.08,
11-March-2016,,,,533.72,
14-March-2016,,,,533.55,
15-March-2016,,,,529.24,
16-March-2016,,,,531.01,
17-March-2016,,,,531.96,
18-March-2016,,,,537.33,
21-March-2016,,,,544.71,
22-March-2016,,,,546.25,
23-March-2016,,,,545.86,
28-March-2016,,,,540.56,
29-March-2016,,,,541.49,
30-March-2016,,,,548.76,
31-March-2016,,,,550.24,
1-April-2016,,,,551.91,
4-April-2016,,,,553.84,
5-April-2016,,,,548.02,
6-April-2016,,,,550.67,
7-April-2016,,,,546.15,
8-April-2016,,,,547.74,
11-April-2016,,,,554.31,
12-April-2016,,,,559.29,
13-April-2016,,,,567.82,
18-April-2016,,,,570.99,
20-April-2016,,,,569.88,
21-April-2016,,,,564.62,
22-April-2016,,,,563.68,
25-April-2016,,,,562.56,
26-April-2016,,,,566.90,
27-April-2016,,,,569.37,
28-April-2016,,,,563.05,
29-April-2016,,,,563.24,
2-May-2016,,,,566.40,
3-May-2016,,,,562.42,
4-May-2016,,,,560.51,
5-May-2016,,,,561.58,
6-May-2016,,,,563.34,
9-May-2016,,,,569.28,
10-May-2016,,,,571.68,
11-May-2016,,,,572.18,
12-May-2016,,,,574.05,
13-May-2016,,,,569.57,
16-May-2016,,,,569.97,
17-May-2016,,,,570.66,
18-May-2016,,,,567.92,
19-May-2016,,,,562.92,
20-May-2016,,,,561.79,
23-May-2016,,,,561.25,
24-May-2016,,,,562.35,
25-May-2016,,,,572.94,
26-May-2016,,,,581.50,
27-May-2016,,,,586.80,
30-May-2016,,,,590.92,
31-May-2016,,,,589.06,
1-June-2016,,,,592.41,
2-June-2016,,,,594.44,
3-June-2016,,,,596.02,
6-June-2016,,,,593.71,
7-June-2016,,,,597.40,
8-June-2016,,,,598.43,
9-June-2016,,,,593.73,
10-June-2016,,,,592.64,
13-June-2016,,,,590.68,
14-June-2016,,,,589.52,
15-June-2016,,,,595.71,
16-June-2016,,,,593.35,
17-June-2016,,,,594.42,
20-June-2016,,,,597.99,
21-June-2016,,,,597.43,
22-June-2016,,,,597.45,
23-June-2016,,,,599.34,
24-June-2016,,,,593.87,
27-June-2016,,,,595.66,
28-June-2016,,,,597.86,
29-June-2016,,,,603.35,
30-June-2016,,,,609.96,
1-July-2016,,,,613.60,
4-July-2016,,,,613.88,
5-July-2016,,,,611.55,
7-July-2016,,,,611.58,
8-July-2016,,,,611.32,
11-July-2016,,,,617.77,
12-July-2016,,,,619.69,
13-July-2016,,,,618.13,
14-July-2016,,,,621.20,
15-July-2016,,,,619.61,
18-July-2016,,,,618.42,
19-July-2016,-,-,-,618.58,
20-July-2016,-,-,-,622.44,
21-July-2016,,,,623.02,
22-July-2016,,,,624.34,
25-July-2016,,,,627.80,
26-July-2016,,,,625.34,
27-July-2016,,,,628.25,
28-July-2016,,,,635.07,
29-July-2016,,,,634.04,
1-August-2016,,,,637.52,
2-August-2016,,,,637.43,
3-August-2016,,,,630.40,
4-August-2016,,,,629.88,
5-August-2016,,,,640.84,
8-August-2016,,,,645.09,
9-August-2016,,,,640.49,
10-August-2016,,,,630.17,
11-August-2016,,,,631.53,
12-August-2016,,,,634.77,
16-August-2016,,,,637.05,
17-August-2016,,,,637.36,
18-August-2016,,,,639.83,
19-August-2016,,,,640.48,
22-August-2016,,,,636.75,
23-August-2016,,,,636.30,
24-August-2016,,,,638.84,
25-August-2016,,,,635.01,
26-August-2016,,,,633.22,
29-August-2016,,,,632.63,
30-August-2016,,,,642.84,
31-August-2016,,,,647.35,
1-September-2016,,,,646.26,
2-September-2016,,,,647.75,
6-September-2016,,,,656.11,
7-September-2016,,,,651.76,
8-September-2016,,,,655.12,
9-September-2016,,,,648.38,
12-September-2016,,,,635.52,
14-September-2016,,,,638.75,
15-September-2016,,,,637.85,
16-September-2016,,,,642.18,
19-September-2016,,,,643.19,
20-September-2016,,,,642.31,
21-September-2016,,,,641.14,
22-September-2016,,,,647.09,
23-September-2016,,,,644.59,
26-September-2016,,,,638.52,
27-September-2016,,,,639.99,
28-September-2016,,,,640.41,
29-September-2016,,,,628.46,
30-September-2016,,,,630.75,
3-October-2016,,,,642.45,
4-October-2016,,,,643.80,
5-October-2016,,,,643.29,
6-October-2016,,,,640.32,
7-October-2016,,,,638.49,
10-October-2016,,,,640.55,
13-October-2016,,,,634.36,
14-October-2016,,,,635.06,
17-October-2016,,,,628.45,
18-October-2016,,,,635.68,
19-October-2016,,,,636.23,
20-October-2016,,,,636.01,
21-October-2016,,,,635.00,
24-October-2016,,,,633.27,
25-October-2016,,,,631.20,
26-October-2016,,,,630.16,
27-October-2016,,,,626.67,
28-October-2016,,,,629.06,
30-October-2016,,,,629.76,
1-November-2016,,,,627.04,
2-November-2016,,,,620.71,
3-November-2016,,,,617.50,
4-November-2016,,,,616.55,
7-November-2016,,,,617.13,
8-November-2016,,,,618.44,
9-November-2016,,,,609.56,
10-November-2016,,,,610.74,
11-November-2016,,,,593.07,
15-November-2016,,,,574.54,
16-November-2016,,,,574.85,
17-November-2016,,,,572.96,
18-November-2016,,,,574.73,
21-November-2016,,,,565.79,
22-November-2016,,,,572.18,
23-November-2016,,,,576.28,
24-November-2016,,,,576.96,
25-November-2016,,,,584.19,
28-November-2016,,,,585.67,
29-November-2016,,,,586.97,
30-November-2016,,,,591.11,
1-December-2016,,,,589.33,
2-December-2016,,,,583.63,
5-December-2016,,,,587.51,
6-December-2016,,,,588.02,
7-December-2016,,,,587.28,
8-December-2016,,,,594.45,
9-December-2016,,,,594.53,
12-December-2016,,,,586.17,
13-December-2016,,,,587.41,
14-December-2016,,,,584.68,
15-December-2016,,,,582.05,
16-December-2016,,,,580.31,
19-December-2016,,,,578.15,
20-December-2016,,,,577.53,
21-December-2016,,,,576.68,
22-December-2016,,,,571.49,
23-December-2016,,,,568.67,
26-December-2016,,,,561.14,
27-December-2016,,,,568.56,
28-December-2016,,,,570.50,
29-December-2016,,,,574.71,
30-December-2016,,,,580.51,
2-January-2017,,,,583.03,
3-January-2017,,,,584.28,
4-January-2017,,,,582.90,
5-January-2017,,,,588.10,
6-January-2017,,,,585.17,
9-January-2017,,,,583.63,
10-January-2017,,,,585.86,
11-January-2017,,,,590.85,
12-January-2017,,,,592.34,
13-January-2017,,,,590.70,
16-January-2017,,,,590.33,
17-January-2017,,,,590.43,
18-January-2017,,,,592.74,
19-January-2017,,,,593.04,
20-January-2017,,,,588.08,
23-January-2017,,,,591.31,
24-January-2017,,,,598.43,
25-January-2017,,,,605.15,
27-January-2017,,,,605.30,
30-January-2017,,,,605.61,
31-January-2017,,,,600.13,
1-February-2017,,,,606.40,
2-February-2017,,,,607.64,
3-February-2017,,,,609.46,
6-February-2017,,,,614.14,
7-February-2017,,,,611.19,
8-February-2017,,,,612.09,
9-February-2017,,,,613.90,
10-February-2017,,,,616.07,
13-February-2017,,,,617.18,
14-February-2017,,,,615.40,
15-February-2017,,,,612.23,
16-February-2017,,,,617.02,
17-February-2017,,,,619.20,
20-February-2017,,,,623.14,
21-February-2017,,,,625.89,
22-February-2017,,,,623.87,
23-February-2017,,,,624.09,
27-February-2017,,,,622.97,
28-February-2017,,,,621.30,
1-March-2017,,,,624.88,
2-March-2017,,,,622.37,
3-March-2017,,,,623.18,
6-March-2017,,,,626.89,
7-March-2017,,,,626.94,
8-March-2017,,,,626.41,
9-March-2017,,,,627.28,
10-March-2017,,,,627.76,
14-March-2017,,,,636.57,
15-March-2017,,,,636.88,
16-March-2017,,,,642.19,
17-March-2017,,,,642.52,
20-March-2017,,,,640.74,
21-March-2017,,,,640.36,
22-March-2017,,,,636.66,
23-March-2017,,,,639.79,
24-March-2017,,,,639.42,
27-March-2017,,,,635.33,
28-March-2017,,,,638.79,
29-March-2017,,,,639.10,
30-March-2017,,,,640.72,
31-March-2017,,,,642.64,
3-April-2017,,,,644.40,
5-April-2017,,,,645.06,
6-April-2017,,,,646.81,
7-April-2017,,,,644.12,
10-April-2017,,,,641.91,
11-April-2017,,,,644.77,
12-April-2017,,,,643.14,
13-April-2017,,,,641.02,
17-April-2017,,,,639.32,
18-April-2017,,,,636.67,
19-April-2017,,,,637.12,
20-April-2017,,,,640.56,
21-April-2017,,,,638.50,
24-April-2017,,,,642.11,
25-April-2017,,,,648.53,
26-April-2017,,,,651.26,
27-April-2017,,,,652.00,
28-April-2017,,,,648.45,
2-May-2017,,,,649.91,
3-May-2017,,,,651.71,
4-May-2017,,,,653.62,
5-May-2017,,,,649.37,
8-May-2017,,,,651.70,
9-May-2017,,,,653.91,
10-May-2017,,,,662.35,
11-May-2017,,,,662.19,
12-May-2017,,,,661.42,
15-May-2017,,,,661.50,
16-May-2017,,,,664.62,
17-May-2017,,,,663.23,
18-May-2017,,,,658.63,
19-May-2017,,,,657.78,
22-May-2017,,,,656.76,
23-May-2017,,,,652.50,
24-May-2017,,,,647.87,
25-May-2017,,,,653.49,
26-May-2017,,,,659.57,
29-May-2017,,,,664.13,
30-May-2017,,,,664.97,
31-May-2017,,,,665.02,
1-June-2017,,,,668.39,
2-June-2017,,,,672.99,
5-June-2017,,,,675.20,
6-June-2017,,,,672.89,
7-June-2017,,,,674.25,
8-June-2017,,,,673.28,
9-June-2017,,,,672.33,
12-June-2017,,,,670.02,
13-June-2017,,,,670.57,
14-June-2017,,,,669.85,
15-June-2017,,,,669.17,
16-June-2017,,,,669.04,
19-June-2017,,,,670.60,
20-June-2017,,,,670.04,
21-June-2017,,,,670.56,
22-June-2017,,,,669.97,
23-June-2017,,,,667.19,
27-June-2017,,,,662.17,
28-June-2017,,,,660.05,
29-June-2017,,,,660.43,
30-June-2017,,,,662.67,
3-July-2017,,,,667.87,
4-July-2017,,,,668.92,
5-July-2017,,,,671.39,
6-July-2017,,,,671.44,
7-July-2017,,,,669.66,
10-July-2017,,,,676.01,
11-July-2017,,,,675.49,
12-July-2017,,,,678.42,
13-July-2017,,,,680.18,
14-July-2017,,,,680.36,
17-July-2017,,,,683.66,
18-July-2017,,,,681.35,
19-July-2017,,,,685.81,
20-July-2017,,,,681.78,
21-July-2017,,,,686.35,
24-July-2017,,,,689.99,
25-July-2017,,,,688.54,
26-July-2017,,,,689.74,
27-July-2017,,,,690.21,
28-July-2017,,,,691.02,
31-July-2017,,,,693.43,
1-August-2017,,,,692.97,
2-August-2017,,,,691.70,
3-August-2017,,,,692.64,
4-August-2017,,,,696.20,
7-August-2017,,,,696.67,
8-August-2017,,,,692.34,
9-August-2017,,,,688.78,
10-August-2017,,,,683.39,
11-August-2017,,,,677.27,
14-August-2017,,,,682.69,
16-August-2017,,,,687.96,
17-August-2017,,,,686.01,
18-August-2017,,,,684.41,
21-August-2017,,,,678.67,
22-August-2017,,,,678.30,
23-August-2017,,,,680.73,
24-August-2017,,,,680.56,
28-August-2017,,,,688.46,
29-August-2017,,,,681.35,
30-August-2017,,,,685.37,
31-August-2017,,,,688.05,
1-September-2017,,,,692.55,
4-September-2017,,,,689.27,
5-September-2017,,,,692.31,
6-September-2017,,,,690.59,
7-September-2017,,,,692.78,
8-September-2017,,,,692.35,
11-September-2017,,,,697.31,
12-September-2017,,,,700.72,
13-September-2017,,,,698.41,
14-September-2017,,,,696.66,
15-September-2017,,,,697.86,
18-September-2017,,,,704.03,
19-September-2017,,,,704.51,
20-September-2017,,,,701.53,
21-September-2017,,,,698.90,
22-September-2017,,,,693.30,
25-September-2017,,,,691.37,
26-September-2017,,,,692.25,
27-September-2017,,,,686.07,
28-September-2017,,,,690.89,
29-September-2017,,,,691.36,
3-October-2017,,,,694.29,
4-October-2017,,,,696.45,
5-October-2017,,,,695.37,
6-October-2017,,,,699.84,
9-October-2017,,,,698.96,
10-October-2017,,,,701.59,
11-October-2017,,,,700.83,
12-October-2017,,,,708.10,
13-October-2017,,,,709.32,
16-October-2017,,,,711.56,
17-October-2017,,,,712.62,
18-October-2017,,,,711.49,
19-October-2017,,,,708.37,
23-October-2017,,,,708.26,
24-October-2017,,,,710.08,
25-October-2017,,,,709.76,
26-October-2017,,,,713.30,
27-October-2017,,,,715.33,
30-October-2017,,,,719.49,
31-October-2017,,,,717.78,
1-November-2017,,,,719.26,
2-November-2017,,,,718.07,
3-November-2017,,,,720.19,
6-November-2017,,,,724.72,
7-November-2017,,,,722.48,
8-November-2017,,,,722.74,
9-November-2017,,,,724.42,
10-November-2017,,,,726.27,
13-November-2017,,,,722.09,
14-November-2017,,,,719.07,
15-November-2017,,,,713.48,
16-November-2017,,,,718.18,
17-November-2017,,,,719.86,
20-November-2017,,,,721.45,
21-November-2017,,,,722.28,
22-November-2017,,,,723.43,
23-November-2017,,,,723.40,
24-November-2017,,,,725.92,
27-November-2017,,,,726.78,
28-November-2017,,,,728.43,
29-November-2017,,,,727.40,
30-November-2017,,,,722.26,
1-December-2017,,,,716.84,
4-December-2017,,,,716.84,
5-December-2017,,,,713.32,
6-December-2017,,,,709.25,
7-December-2017,,,,717.93,
8-December-2017,,,,725.73,
11-December-2017,,,,728.27,
12-December-2017,,,,722.48,
13-December-2017,,,,720.81,
14-December-2017,,,,721.93,
15-December-2017,,,,725.66,
18-December-2017,,,,730.06,
19-December-2017,,,,737.79,
20-December-2017,,,,738.44,
21-December-2017,,,,739.76,
22-December-2017,,,,742.39,
26-December-2017,,,,742.11,
27-December-2017,,,,740.91,
28-December-2017,742.38,743.50,738.13,739.30,
29-December-2017,739.78,745.74,739.78,745.11,
1-January-2018,745.99,746.66,741.85,742.42,
2-January-2018,744.68,745.79,738.79,741.90,
3-January-2018,742.84,746.75,742.17,743.50,
4-January-2018,746.85,748.35,744.55,747.72,
5-January-2018,750.34,752.74,749.35,751.86,
8-January-2018,752.83,757.07,752.83,756.13,
9-January-2018,758.17,759.69,754.03,756.14,
10-January-2018,755.89,758.47,754.29,757.77,
11-January-2018,758.67,760.16,756.47,759.33,
12-January-2018,760.51,761.34,755.03,758.76,
15-January-2018,760.08,762.20,757.28,758.25,
16-January-2018,760.50,761.80,755.45,757.37,
17-January-2018,757.61,761.25,753.17,760.15,
18-January-2018,762.73,765.40,755.78,758.98,
19-January-2018,759.34,762.20,756.21,760.87,
22-January-2018,759.97,766.88,759.45,766.23,
23-January-2018,767.96,771.50,767.81,770.90,
24-January-2018,770.29,773.65,769.58,772.23,
25-January-2018,772.42,773.48,766.24,768.78,
29-January-2018,770.16,776.24,770.09,773.97,
30-January-2018,773.71,773.83,767.59,768.83,
31-January-2018,769.02,769.33,763.47,765.22,
1-February-2018,768.44,771.03,759.30,769.20,
2-February-2018,766.62,766.87,753.53,754.35,
5-February-2018,750.28,753.20,744.33,749.72,
6-February-2018,737.91,741.52,726.85,737.50,
7-February-2018,746.38,748.56,735.20,736.86,
8-February-2018,739.63,745.63,739.19,742.37,
9-February-2018,736.66,739.80,732.48,738.19,
12-February-2018,743.24,746.58,742.95,745.58,
14-February-2018,750.00,750.18,742.03,744.47,
15-February-2018,747.07,749.31,743.80,744.90,
16-February-2018,746.64,748.34,740.62,741.21,
19-February-2018,742.80,743.24,731.59,736.35,
20-February-2018,737.03,740.74,735.12,737.25,
21-February-2018,737.50,738.68,735.25,736.84,
22-February-2018,737.32,737.32,733.44,734.68,
23-February-2018,735.09,740.81,734.69,739.84,
26-February-2018,742.61,745.91,742.57,744.01,
27-February-2018,745.66,748.59,742.68,743.40,
28-February-2018,741.29,744.96,738.82,743.23,
1-March-2018,743.91,745.43,741.28,742.17,
5-March-2018,741.93,742.02,734.54,736.37,
6-March-2018,740.18,740.46,730.31,731.50,
7-March-2018,732.83,733.13,729.38,730.00,
8-March-2018,731.99,734.09,729.02,731.44,
9-March-2018,733.18,736.43,731.10,731.88,
12-March-2018,735.10,741.15,734.34,740.23,
13-March-2018,739.89,741.94,736.11,737.89,
14-March-2018,737.11,737.82,733.71,736.21,
15-March-2018,737.05,737.85,734.38,735.57,
16-March-2018,733.74,734.26,727.31,727.72,
19-March-2018,728.58,728.78,720.19,721.24,
20-March-2018,720.95,725.33,718.92,724.44,
21-March-2018,724.96,731.43,724.96,726.84,
22-March-2018,727.87,729.00,722.21,723.00,
23-March-2018,718.38,721.01,714.80,719.82,
26-March-2018,720.40,725.25,717.92,724.19,
27-March-2018,726.60,732.44,726.15,729.86,
28-March-2018,728.84,733.33,726.39,731.90,
2-April-2018,734.03,744.49,733.79,743.58,
3-April-2018,744.17,746.69,741.65,746.11,
4-April-2018,747.49,748.64,738.66,739.55,
5-April-2018,744.22,748.67,744.07,747.45,
6-April-2018,748.32,748.32,744.26,747.46,
9-April-2018,747.46,751.30,747.28,749.95,
10-April-2018,750.27,752.06,748.07,748.95,
11-April-2018,750.75,752.80,748.10,752.14,
12-April-2018,754.07,757.91,752.06,757.34,
13-April-2018,758.92,760.39,757.12,758.27,
16-April-2018,755.62,765.00,754.24,764.42,
17-April-2018,765.83,768.80,765.66,768.10,
18-April-2018,769.14,771.00,767.48,768.54,
19-April-2018,770.99,772.98,770.51,771.43,
20-April-2018,772.19,774.67,771.00,773.80,
23-April-2018,774.46,779.37,774.12,775.71,
24-April-2018,777.48,778.91,772.76,773.70,
25-April-2018,772.63,775.58,771.88,774.39,
26-April-2018,773.85,777.47,773.77,776.83,
27-April-2018,777.20,779.60,776.70,777.39,
30-April-2018,778.90,785.88,778.80,785.11,
2-May-2018,787.83,789.48,778.98,780.05,
3-May-2018,780.16,780.16,772.18,773.35,
4-May-2018,775.17,776.32,768.70,768.98,
7-May-2018,770.29,773.47,769.64,772.76,
8-May-2018,774.08,774.93,768.33,769.71,
9-May-2018,770.13,770.31,767.43,767.78,
10-May-2018,769.11,770.93,763.85,764.67,
11-May-2018,765.77,771.44,765.66,770.47,
14-May-2018,771.07,772.54,769.27,771.28,
15-May-2018,772.33,777.87,770.61,771.65,
16-May-2018,771.13,774.34,766.60,772.91,
17-May-2018,774.61,776.11,769.42,770.88,
18-May-2018,770.59,772.74,766.37,767.44,
21-May-2018,768.60,769.39,759.88,761.00,
22-May-2018,761.38,765.26,759.26,764.30,
23-May-2018,764.65,765.36,758.81,759.66,
24-May-2018,760.67,764.14,759.24,762.46,
25-May-2018,763.99,772.18,763.15,770.78,
28-May-2018,773.61,774.95,771.87,773.73,
29-May-2018,775.83,777.00,770.53,772.01,
30-May-2018,772.08,773.79,769.47,772.10,
31-May-2018,775.42,780.16,771.03,778.06,
1-June-2018,778.68,780.12,773.28,774.25,
4-June-2018,778.71,779.02,768.87,770.05,
5-June-2018,770.23,771.18,763.11,764.24,
6-June-2018,764.91,773.26,764.35,772.21,
7-June-2018,773.78,778.35,773.05,777.28,
8-June-2018,776.89,777.11,772.93,774.76,
11-June-2018,776.10,778.42,774.67,775.52,
12-June-2018,776.56,778.83,775.66,777.89,
13-June-2018,780.04,782.61,777.97,780.15,
14-June-2018,781.57,781.57,775.49,779.20,
15-June-2018,780.54,780.68,774.27,778.29,
18-June-2018,779.95,780.92,774.54,775.29,
19-June-2018,775.33,775.88,767.11,767.94,
20-June-2018,769.03,770.86,767.82,769.91,
21-June-2018,770.23,771.03,764.40,765.07,
22-June-2018,764.92,770.01,762.10,769.09,
25-June-2018,770.28,770.86,765.56,766.51,
26-June-2018,765.83,775.02,765.83,771.81,
27-June-2018,774.06,775.16,765.04,766.22,
28-June-2018,766.74,767.15,761.02,762.81,
29-June-2018,764.26,771.36,763.87,770.12,
2-July-2018,774.21,774.25,765.18,766.21,
3-July-2018,767.28,769.57,764.89,768.52,
4-July-2018,768.68,773.34,767.67,772.84,
5-July-2018,773.63,776.81,771.55,775.23,
6-July-2018,775.60,779.13,773.93,775.85,
9-July-2018,778.90,782.01,778.15,781.13,
10-July-2018,783.52,785.63,782.98,784.30,
11-July-2018,785.51,786.95,783.28,784.58,
12-July-2018,786.96,789.55,784.57,785.99,
13-July-2018,787.06,790.30,784.79,785.95,
16-July-2018,788.45,788.64,781.63,782.47,
17-July-2018,783.41,785.74,781.51,784.79,
18-July-2018,788.19,788.82,781.80,782.53,
19-July-2018,783.69,785.11,777.77,778.87,
20-July-2018,778.45,782.04,776.14,776.80,
23-July-2018,779.80,781.29,777.04,780.57,
24-July-2018,784.42,787.11,782.63,785.22,
25-July-2018,786.58,787.19,781.29,783.37,
26-July-2018,784.79,787.46,780.90,784.13,
27-July-2018,786.63,788.33,785.28,787.21,
30-July-2018,789.92,790.51,786.24,789.23,
31-July-2018,790.52,798.70,788.63,797.79,
1-August-2018,800.04,802.42,797.64,799.70,
2-August-2018,801.15,801.15,792.07,793.28,
3-August-2018,796.21,799.33,795.82,797.24,
6-August-2018,799.57,800.76,797.11,797.74,
7-August-2018,800.83,801.94,798.35,799.66,
8-August-2018,802.38,803.78,798.92,803.27,
9-August-2018,804.59,805.07,802.37,803.38,
10-August-2018,804.95,805.00,800.94,801.94,
13-August-2018,802.53,804.79,798.21,801.16,
14-August-2018,803.65,806.84,802.30,805.03,
16-August-2018,805.04,805.42,799.79,800.31,
17-August-2018,804.61,805.45,801.93,804.82,
20-August-2018,806.89,810.79,806.64,809.79,
21-August-2018,811.90,813.88,810.86,812.76,
23-August-2018,815.59,822.57,815.53,821.97,
24-August-2018,823.59,824.22,818.51,818.94,
27-August-2018,821.14,826.88,820.59,826.13,
28-August-2018,828.68,831.39,826.55,827.27,
29-August-2018,829.06,829.06,824.36,824.83,
30-August-2018,825.50,828.03,824.38,827.04,
31-August-2018,828.38,834.81,827.81,832.95,
3-September-2018,838.52,838.71,822.11,823.11,
4-September-2018,825.08,826.36,808.24,809.47,
5-September-2018,809.58,811.10,800.72,806.14,
6-September-2018,809.10,813.41,806.82,810.12,
7-September-2018,813.18,817.99,809.47,817.24,
10-September-2018,816.16,817.63,803.79,804.17,
11-September-2018,807.06,807.64,794.93,795.87,
12-September-2018,797.90,805.34,797.53,804.61,
14-September-2018,807.41,814.51,807.41,814.13,
17-September-2018,814.06,814.11,807.45,808.65,
18-September-2018,811.11,813.77,804.84,805.71,
19-September-2018,807.94,811.87,802.00,803.38,
21-September-2018,806.66,808.73,778.08,798.04,
24-September-2018,799.69,800.00,779.01,781.60,
25-September-2018,783.28,790.92,773.97,788.76,
26-September-2018,794.29,794.69,781.48,783.25,
27-September-2018,784.78,786.38,777.32,778.92,
28-September-2018,783.31,783.56,768.55,771.66,
1-October-2018,770.39,777.20,764.84,775.33,
3-October-2018,776.96,776.96,763.02,764.27,
4-October-2018,761.63,761.63,748.31,750.47,
5-October-2018,750.59,750.59,737.21,740.57,
8-October-2018,741.95,743.79,732.39,740.46,
9-October-2018,743.57,744.26,732.43,735.49,
10-October-2018,739.78,748.75,736.22,747.15,
11-October-2018,736.29,740.36,727.25,735.95,
12-October-2018,740.38,752.78,740.24,750.57,
15-October-2018,756.32,757.39,743.32,747.58,
16-October-2018,749.63,754.38,748.53,751.31,
17-October-2018,756.85,758.41,742.90,743.62,
19-October-2018,743.43,743.43,733.67,737.22,
22-October-2018,744.20,744.59,730.78,732.21,
23-October-2018,728.41,729.86,719.35,723.96,
24-October-2018,728.25,732.47,720.29,728.19,
25-October-2018,723.84,726.30,721.15,725.00,
26-October-2018,726.25,726.91,716.76,720.14,
29-October-2018,723.33,728.87,719.52,728.28,
30-October-2018,728.98,731.92,726.47,729.22,
31-October-2018,731.02,739.81,722.83,739.24,
1-November-2018,743.69,743.69,735.80,737.70,
2-November-2018,741.70,752.58,741.52,748.79,
5-November-2018,750.64,750.66,743.70,747.19,
6-November-2018,749.89,751.38,744.50,746.16,
7-November-2018,752.32,752.81,750.56,752.29,
9-November-2018,754.15,756.92,749.41,756.29,
12-November-2018,759.74,760.49,746.26,747.33,
13-November-2018,748.04,754.17,745.21,753.50,
14-November-2018,756.07,760.31,752.79,756.11,
15-November-2018,757.35,760.74,756.53,759.32,
16-November-2018,761.41,767.01,760.81,763.93,
19-November-2018,767.57,769.90,764.65,769.01,
20-November-2018,769.85,769.92,762.74,763.57,
21-November-2018,764.62,765.16,759.50,761.43,
22-November-2018,763.78,764.82,758.21,759.23,
26-November-2018,761.83,771.04,760.48,770.30,
27-November-2018,770.31,774.09,767.73,773.19,
28-November-2018,775.26,779.17,773.81,774.38,
29-November-2018,777.36,782.71,776.96,781.50,
30-November-2018,782.93,787.01,780.89,784.05,
3-December-2018,789.43,789.83,784.63,787.48,
4-December-2018,789.10,789.44,784.05,785.17,
5-December-2018,784.06,784.53,778.79,780.46,
6-December-2018,778.67,778.67,767.31,767.85,
