Date,Open,High,Low,Close
14-December-2015,,,,435.79,
15-December-2015,,,,438.82,
16-December-2015,,,,441.30,
17-December-2015,,,,447.05,
18-December-2015,,,,445.83,
21-December-2015,,,,447.98,
22-December-2015,,,,445.75,
23-December-2015,,,,448.93,
24-December-2015,,,,449.44,
28-December-2015,,,,451.31,
29-December-2015,,,,454.57,
30-December-2015,,,,454.56,
31-December-2015,,,,455.50,
1-January-2016,,,,459.09,
4-January-2016,,,,454.37,
5-January-2016,,,,455.01,
6-January-2016,,,,455.72,
7-January-2016,,,,445.48,
8-January-2016,,,,449.84,
11-January-2016,,,,447.69,
12-January-2016,,,,444.90,
13-January-2016,,,,444.08,
14-January-2016,,,,441.29,
15-January-2016,,,,431.33,
18-January-2016,,,,419.74,
19-January-2016,,,,425.61,
20-January-2016,,,,416.69,
21-January-2016,,,,413.89,
22-January-2016,,,,423.34,
25-January-2016,,,,424.22,
27-January-2016,,,,424.35,
28-January-2016,,,,422.80,
29-January-2016,,,,428.34,
1-February-2016,,,,430.69,
2-February-2016,,,,423.62,
3-February-2016,,,,421.30,
4-February-2016,,,,420.29,
5-February-2016,,,,427.54,
8-February-2016,,,,424.86,
9-February-2016,,,,417.60,
10-February-2016,,,,412.98,
11-February-2016,,,,398.06,
12-February-2016,,,,397.18,
15-February-2016,,,,409.16,
16-February-2016,,,,400.15,
17-February-2016,,,,403.41,
18-February-2016,,,,407.41,
19-February-2016,,,,405.16,
22-February-2016,,,,408.46,
23-February-2016,,,,401.59,
24-February-2016,,,,395.57,
25-February-2016,,,,390.65,
26-February-2016,,,,393.31,
29-February-2016,,,,395.46,
1-March-2016,,,,408.34,
2-March-2016,,,,415.22,
3-March-2016,,,,417.37,
4-March-2016,,,,419.77,
8-March-2016,,,,419.46,
9-March-2016,,,,424.05,
10-March-2016,,,,422.01,
11-March-2016,,,,423.00,
14-March-2016,,,,424.10,
15-March-2016,,,,420.40,
16-March-2016,,,,417.85,
17-March-2016,,,,418.66,
18-March-2016,,,,422.56,
21-March-2016,,,,428.93,
22-March-2016,,,,429.17,
23-March-2016,,,,429.11,
28-March-2016,,,,425.75,
29-March-2016,,,,426.36,
30-March-2016,,,,433.95,
31-March-2016,,,,436.51,
1-April-2016,,,,435.21,
4-April-2016,,,,437.85,
5-April-2016,,,,433.28,
6-April-2016,,,,435.75,
7-April-2016,,,,434.12,
8-April-2016,,,,436.49,
11-April-2016,,,,441.71,
12-April-2016,,,,446.73,
13-April-2016,,,,450.22,
18-April-2016,,,,455.32,
20-April-2016,,,,452.08,
21-April-2016,,,,452.16,
22-April-2016,,,,452.92,
25-April-2016,,,,450.88,
26-April-2016,,,,454.95,
27-April-2016,,,,456.32,
28-April-2016,,,,451.35,
29-April-2016,,,,454.53,
2-May-2016,,,,458.29,
3-May-2016,,,,455.75,
4-May-2016,,,,453.37,
5-May-2016,,,,453.17,
6-May-2016,,,,454.63,
9-May-2016,,,,459.74,
10-May-2016,,,,460.72,
11-May-2016,,,,462.31,
12-May-2016,,,,465.40,
13-May-2016,,,,464.40,
16-May-2016,,,,465.43,
17-May-2016,,,,467.01,
18-May-2016,,,,466.60,
19-May-2016,,,,461.59,
20-May-2016,,,,458.71,
23-May-2016,,,,455.42,
24-May-2016,,,,452.57,
25-May-2016,,,,460.13,
26-May-2016,,,,464.12,
27-May-2016,,,,475.24,
30-May-2016,,,,473.84,
31-May-2016,,,,474.09,
1-June-2016,,,,475.12,
2-June-2016,,,,479.51,
3-June-2016,,,,482.46,
6-June-2016,,,,479.58,
7-June-2016,,,,478.91,
8-June-2016,,,,479.11,
9-June-2016,,,,477.42,
10-June-2016,,,,473.40,
13-June-2016,,,,472.82,
14-June-2016,,,,471.87,
15-June-2016,,,,475.33,
16-June-2016,,,,471.96,
17-June-2016,,,,471.01,
20-June-2016,,,,473.11,
21-June-2016,,,,472.87,
22-June-2016,,,,472.39,
23-June-2016,,,,473.66,
24-June-2016,,,,467.60,
27-June-2016,,,,471.91,
28-June-2016,,,,474.56,
29-June-2016,,,,478.13,
30-June-2016,,,,482.89,
1-July-2016,,,,488.90,
4-July-2016,,,,490.78,
5-July-2016,,,,490.05,
7-July-2016,,,,488.10,
8-July-2016,,,,489.26,
11-July-2016,,,,497.18,
12-July-2016,,,,498.27,
13-July-2016,,,,495.54,
14-July-2016,,,,498.11,
15-July-2016,,,,497.65,
18-July-2016,,,,495.82,
19-July-2016,-,-,-,498.48,
20-July-2016,,,,504.97,
21-July-2016,,,,505.09,
22-July-2016,,,,511.32,
25-July-2016,,,,516.40,
26-July-2016,,,,515.97,
27-July-2016,,,,519.16,
28-July-2016,,,,522.71,
29-July-2016,,,,526.53,
1-August-2016,,,,530.20,
2-August-2016,,,,528.27,
3-August-2016,,,,519.15,
4-August-2016,,,,520.05,
5-August-2016,,,,528.56,
8-August-2016,,,,535.55,
9-August-2016,,,,532.76,
10-August-2016,,,,523.48,
11-August-2016,,,,526.04,
12-August-2016,,,,528.91,
16-August-2016,,,,533.47,
17-August-2016,,,,535.48,
18-August-2016,,,,540.31,
19-August-2016,,,,544.01,
22-August-2016,,,,542.21,
23-August-2016,,,,537.24,
