Date,Open,High,Low,Close
14-December-2015,,,,532.32,
15-December-2015,,,,536.42,
16-December-2015,,,,537.03,
17-December-2015,,,,543.14,
18-December-2015,,,,540.49,
21-December-2015,,,,543.09,
22-December-2015,,,,542.29,
23-December-2015,,,,544.94,
24-December-2015,,,,545.99,
28-December-2015,,,,547.61,
29-December-2015,,,,548.16,
30-December-2015,,,,547.87,
31-December-2015,,,,549.04,
1-January-2016,,,,551.63,
4-January-2016,,,,543.75,
5-January-2016,,,,543.31,
6-January-2016,,,,540.24,
7-January-2016,,,,528.32,
8-January-2016,,,,530.00,
11-January-2016,,,,525.47,
12-January-2016,,,,523.05,
13-January-2016,,,,524.49,
14-January-2016,,,,522.97,
15-January-2016,,,,514.25,
18-January-2016,,,,505.65,
19-January-2016,,,,508.81,
20-January-2016,,,,500.54,
21-January-2016,,,,495.88,
22-January-2016,,,,503.67,
25-January-2016,,,,504.78,
27-January-2016,,,,505.75,
28-January-2016,,,,504.33,
29-January-2016,,,,514.63,
1-February-2016,,,,516.89,
2-February-2016,,,,510.99,
3-February-2016,,,,505.98,
4-February-2016,,,,508.88,
5-February-2016,,,,517.83,
8-February-2016,,,,513.09,
9-February-2016,,,,504.64,
10-February-2016,,,,498.38,
11-February-2016,,,,483.97,
12-February-2016,,,,483.65,
15-February-2016,,,,497.31,
16-February-2016,,,,485.26,
17-February-2016,,,,486.20,
18-February-2016,,,,493.57,
19-February-2016,,,,493.32,
22-February-2016,,,,497.25,
23-February-2016,,,,489.17,
24-February-2016,,,,482.25,
25-February-2016,,,,477.32,
26-February-2016,,,,478.98,
29-February-2016,,,,475.34,
1-March-2016,,,,490.36,
2-March-2016,,,,495.34,
3-March-2016,,,,500.61,
4-March-2016,,,,503.55,
8-March-2016,,,,504.76,
9-March-2016,,,,504.52,
10-March-2016,,,,502.87,
11-March-2016,,,,505.99,
14-March-2016,,,,506.84,
15-March-2016,,,,502.14,
16-March-2016,,,,500.85,
17-March-2016,,,,505.02,
18-March-2016,,,,509.30,
21-March-2016,,,,512.64,
22-March-2016,,,,514.67,
23-March-2016,,,,514.49,
28-March-2016,,,,508.68,
29-March-2016,,,,509.83,
30-March-2016,,,,517.07,
