Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,992.35,
20-September-2005,,,,986.54,
21-September-2005,,,,988.28,
22-September-2005,,,,942.90,
23-September-2005,,,,947.32,
26-September-2005,,,,980.79,
27-September-2005,,,,979.30,
28-September-2005,,,,996.29,
29-September-2005,,,,994.64,
30-September-2005,,,,1005.29,
3-October-2005,,,,1020.61,
4-October-2005,,,,1025.01,
5-October-2005,,,,1021.81,
6-October-2005,,,,1004.59,
7-October-2005,,,,1004.53,
10-October-2005,,,,996.86,
11-October-2005,,,,989.38,
13-October-2005,,,,975.88,
14-October-2005,,,,961.38,
17-October-2005,,,,945.40,
18-October-2005,,,,936.38,
19-October-2005,,,,916.11,
20-October-2005,,,,909.39,
21-October-2005,,,,930.71,
24-October-2005,,,,919.99,
25-October-2005,,,,927.49,
26-October-2005,,,,908.95,
27-October-2005,,,,881.43,
28-October-2005,,,,873.85,
31-October-2005,,,,892.21,
1-November-2005,,,,901.09,
2-November-2005,,,,909.86,
7-November-2005,,,,924.68,
8-November-2005,,,,946.93,
9-November-2005,,,,935.20,
10-November-2005,,,,941.58,
11-November-2005,,,,971.07,
14-November-2005,,,,970.33,
16-November-2005,,,,979.29,
17-November-2005,,,,987.58,
18-November-2005,,,,981.76,
21-November-2005,,,,973.82,
22-November-2005,,,,970.82,
23-November-2005,,,,973.79,
24-November-2005,,,,977.75,
25-November-2005,,,,980.20,
28-November-2005,,,,1007.11,
29-November-2005,,,,1006.92,
30-November-2005,,,,995.86,
1-December-2005,,,,1013.35,
2-December-2005,,,,1009.46,
5-December-2005,,,,994.40,
6-December-2005,,,,997.86,
7-December-2005,,,,1005.76,
8-December-2005,,,,1003.69,
9-December-2005,,,,1022.24,
12-December-2005,,,,1024.61,
13-December-2005,,,,1022.75,
14-December-2005,,,,1029.49,
15-December-2005,,,,1020.79,
16-December-2005,,,,1025.22,
19-December-2005,,,,1025.67,
20-December-2005,,,,1035.54,
21-December-2005,,,,1035.87,
22-December-2005,,,,1037.14,
23-December-2005,,,,1007.51,
26-December-2005,,,,978.78,
27-December-2005,,,,1004.70,
28-December-2005,,,,1014.14,
29-December-2005,,,,1019.13,
30-December-2005,,,,1028.53,
2-January-2006,,,,1027.55,
3-January-2006,,,,1038.04,
4-January-2006,,,,1052.17,
5-January-2006,,,,1057.70,
6-January-2006,,,,1058.15,
9-January-2006,,,,1065.38,
10-January-2006,,,,1063.99,
12-January-2006,,,,1066.78,
13-January-2006,,,,1064.75,
16-January-2006,,,,1054.94,
17-January-2006,,,,1043.47,
18-January-2006,,,,1040.28,
19-January-2006,,,,1062.77,
20-January-2006,,,,1065.66,
23-January-2006,,,,1058.15,
24-January-2006,,,,1062.85,
25-January-2006,,,,1059.17,
27-January-2006,,,,1070.02,
30-January-2006,,,,1073.38,
31-January-2006,,,,1086.78,
1-February-2006,,,,1074.70,
2-February-2006,,,,1069.73,
3-February-2006,,,,1087.60,
6-February-2006,,,,1097.37,
7-February-2006,,,,1096.17,
8-February-2006,,,,1105.78,
10-February-2006,,,,1108.88,
13-February-2006,,,,1112.35,
14-February-2006,,,,1100.52,
15-February-2006,,,,1111.12,
16-February-2006,,,,1115.18,
17-February-2006,,,,1095.30,
20-February-2006,,,,1096.05,
21-February-2006,,,,1100.01,
